id,brier,rps,auc,n,lat,lon,pietra,brier_week1,brier_week2,brier_week3,brier_week4,brier_later,auc_week1,auc_week2,auc_week3,auc_week4,auc_later,model,cv_method
East Belesa,0.6298972814677246,0.6777967903288089,0.8076923076923077,13,,,,,,,,,,,,,,blended_model,global
East Dembia,0.7972818354207217,0.645602961758798,0.7098765432098766,9,,,,,,,,,,,,,,blended_model,global
East Esite,0.19354821425248342,0.09555932592064423,0.9985207100591716,13,,,,,,,,,,,,,,blended_model,global
Ebenat,0.45866078201388216,0.41563025702129647,0.8905325443786982,13,,,,,,,,,,,,,,blended_model,global
Ebenat town,0.26923367888249283,0.17602837793238424,0.985207100591716,13,,,,,,,,,,,,,,blended_model,global
Eferatana Gidem,0.816254580845777,0.9168139805193164,0.7653061224489796,14,,,,,,,,,,,,,,blended_model,global
Ejere /Addis Alem,0.6756042370440577,0.5076193846381744,0.7825,10,,,,,,,,,,,,,,blended_model,global
Ejersa Lafo,0.7251827092255269,0.4731632094919159,0.765,10,,,,,,,,,,,,,,blended_model,global
Eka Tafo,1.1280430870764195,1.1154492116816028,0.6265432098765432,9,,,,,,,,,,,,,,blended_model,global
Enarj Enawga,0.29382541260237977,0.1889259890675209,0.992603550295858,13,,,,,,,,,,,,,,blended_model,global
Enebse Sarmder,0.3501286240907508,0.25520701072775387,0.9644970414201184,13,,,,,,,,,,,,,,blended_model,global
Enemay,0.3029378566654915,0.2019220729582827,0.9866863905325444,13,,,,,,,,,,,,,,blended_model,global
Enewari town,0.43119957510785895,0.3665615010834519,0.9127218934911243,13,,,,,,,,,,,,,,blended_model,global
Ensaro,0.3658412298929931,0.2907649670319028,0.9526627218934911,13,,,,,,,,,,,,,,blended_model,global
Farta,0.2146775153156361,0.11517062618480017,0.9985207100591716,13,,,,,,,,,,,,,,blended_model,global
Fentale,0.505313611925389,0.3802487108847767,0.8633333333333333,15,,,,,,,,,,,,,,blended_model,global
Fiche town,0.2933016859372216,0.21343328231142272,0.985207100591716,13,,,,,,,,,,,,,,blended_model,global
Filakit town,0.515051836062794,0.4538953376414047,0.8912742382271468,19,,,,,,,,,,,,,,blended_model,global
Finote Selam town,0.8138826569570978,0.5896265330279323,0.7175,10,,,,,,,,,,,,,,blended_model,global
Fogera,0.2910548202737934,0.17599848933641069,0.985207100591716,13,,,,,,,,,,,,,,blended_model,global
Furi,0.9920615290151902,0.9771304432059669,0.6296296296296297,9,,,,,,,,,,,,,,blended_model,global
Galan,1.0710447662113483,1.1038846024376356,0.6296296296296297,9,,,,,,,,,,,,,,blended_model,global
